epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,3.195,5.076,3.319,0.012,0.000,0.000,0.000
002,2.817,4.640,2.668,0.025,0.202,0.002,0.001
003,2.718,4.500,2.526,0.039,0.001,0.001,0.000
004,2.656,4.421,2.473,0.066,0.002,0.003,0.001
005,2.603,4.359,2.432,0.048,0.004,0.003,0.001
006,2.567,4.313,2.413,0.054,0.279,0.005,0.002
007,2.549,4.291,2.398,0.120,0.004,0.005,0.002
008,2.525,4.261,2.386,0.062,0.005,0.005,0.002
009,2.520,4.232,2.366,0.097,0.005,0.007,0.002
010,2.505,4.207,2.356,0.027,0.464,0.007,0.003
011,2.605,4.344,2.496,0.019,0.432,0.005,0.002
012,2.590,4.275,2.471,0.018,0.455,0.007,0.003
013,2.577,4.236,2.456,0.010,0.725,0.008,0.003
014,2.561,4.201,2.441,0.014,0.654,0.009,0.003
015,2.550,4.167,2.417,0.015,0.573,0.010,0.004
016,2.542,4.133,2.411,0.014,0.593,0.011,0.005
017,2.527,4.109,2.396,0.015,0.637,0.012,0.005
018,2.513,4.075,2.387,0.017,0.555,0.012,0.005
019,2.500,4.047,2.371,0.019,0.569,0.014,0.006
020,2.492,4.024,2.359,0.021,0.555,0.014,0.006
